YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1936-12-01;--:--;    223.806;   -999.000;   0
1937-01-01;--:--;    273.419;   -999.000;   0
1937-02-01;--:--;    990.714;   -999.000;   0
1937-03-01;--:--;   1031.774;   -999.000;   0
1937-04-01;--:--;    703.000;   -999.000;   0
1937-05-01;--:--;    372.129;   -999.000;   0
1937-06-01;--:--;    278.333;   -999.000;   0
1937-07-01;--:--;    128.532;   -999.000;   0
1937-08-01;--:--;     62.177;   -999.000;   0
1937-09-01;--:--;     65.247;   -999.000;   0
1937-10-01;--:--;     94.323;   -999.000;   0
1937-11-01;--:--;    320.500;   -999.000;   0
1937-12-01;--:--;    459.161;   -999.000;   0
1938-01-01;--:--;    393.710;   -999.000;   0
1938-02-01;--:--;    522.464;   -999.000;   0
1938-03-01;--:--;    251.548;   -999.000;   0
1938-04-01;--:--;    120.150;   -999.000;   0
1938-05-01;--:--;    118.813;   -999.000;   0
1938-06-01;--:--;    167.467;   -999.000;   0
1938-07-01;--:--;    153.935;   -999.000;   0
1938-08-01;--:--;     78.097;   -999.000;   0
1938-09-01;--:--;    175.467;   -999.000;   0
1938-10-01;--:--;    195.387;   -999.000;   0
1938-11-01;--:--;    190.133;   -999.000;   0
1938-12-01;--:--;    303.516;   -999.000;   0
1939-01-01;--:--;    863.903;   -999.000;   0
1939-02-01;--:--;    430.750;   -999.000;   0
1939-03-01;--:--;    501.581;   -999.000;   0
1939-04-01;--:--;    711.367;   -999.000;   0
1939-05-01;--:--;    420.871;   -999.000;   0
1939-06-01;--:--;    178.567;   -999.000;   0
1939-07-01;--:--;    120.823;   -999.000;   0
1939-08-01;--:--;    105.790;   -999.000;   0
1939-09-01;--:--;    137.067;   -999.000;   0
1939-10-01;--:--;    377.968;   -999.000;   0
1939-11-01;--:--;   1083.667;   -999.000;   0
1939-12-01;--:--;    621.129;   -999.000;   0
1940-01-01;--:--;    500.000;   -999.000;   0
1940-02-01;--:--;   1103.448;   -999.000;   0
1940-03-01;--:--;    385.742;   -999.000;   0
1940-04-01;--:--;    588.467;   -999.000;   0
1940-05-01;--:--;    845.355;   -999.000;   0
1940-06-01;--:--;    253.367;   -999.000;   0
1940-07-01;--:--;    315.097;   -999.000;   0
1940-08-01;--:--;    125.194;   -999.000;   0
1940-09-01;--:--;     94.100;   -999.000;   0
1940-10-01;--:--;    425.452;   -999.000;   0
1940-11-01;--:--;    458.767;   -999.000;   0
1940-12-01;--:--;    608.452;   -999.000;   0
1941-01-01;--:--;   1121.194;   -999.000;   0
1941-02-01;--:--;   1294.821;   -999.000;   0
1941-03-01;--:--;    576.323;   -999.000;   0
1941-04-01;--:--;    650.533;   -999.000;   0
1941-05-01;--:--;    415.452;   -999.000;   0
1941-06-01;--:--;    638.567;   -999.000;   0
1941-07-01;--:--;    173.097;   -999.000;   0
1941-08-01;--:--;    202.774;   -999.000;   0
1941-09-01;--:--;    149.333;   -999.000;   0
1941-10-01;--:--;    117.306;   -999.000;   0
1941-11-01;--:--;    552.933;   -999.000;   0
1941-12-01;--:--;    329.129;   -999.000;   0
1942-01-01;--:--;    467.161;   -999.000;   0
1942-02-01;--:--;    635.679;   -999.000;   0
1942-03-01;--:--;    977.806;   -999.000;   0
1942-04-01;--:--;    329.000;   -999.000;   0
1942-05-01;--:--;    183.323;   -999.000;   0
1942-06-01;--:--;    178.833;   -999.000;   0
1942-07-01;--:--;     85.484;   -999.000;   0
1942-08-01;--:--;     53.565;   -999.000;   0
1942-09-01;--:--;     49.130;   -999.000;   0
1942-10-01;--:--;     71.677;   -999.000;   0
1942-11-01;--:--;    313.300;   -999.000;   0
1942-12-01;--:--;    217.129;   -999.000;   0
1943-01-01;--:--;    678.065;   -999.000;   0
1943-02-01;--:--;    402.000;   -999.000;   0
1943-03-01;--:--;    189.484;   -999.000;   0
1943-04-01;--:--;    141.200;   -999.000;   0
1943-05-01;--:--;    128.323;   -999.000;   0
1943-06-01;--:--;     71.250;   -999.000;   0
1943-07-01;--:--;     42.445;   -999.000;   0
1943-08-01;--:--;     31.958;   -999.000;   0
1943-09-01;--:--;     65.657;   -999.000;   0
1943-10-01;--:--;    363.452;   -999.000;   0
1943-11-01;--:--;    431.700;   -999.000;   0
1943-12-01;--:--;    558.806;   -999.000;   0
1944-01-01;--:--;    278.548;   -999.000;   0
1944-02-01;--:--;    438.759;   -999.000;   0
1944-03-01;--:--;    390.323;   -999.000;   0
1944-04-01;--:--;    390.367;   -999.000;   0
1944-05-01;--:--;    167.000;   -999.000;   0
1944-06-01;--:--;     80.433;   -999.000;   0
1944-07-01;--:--;    134.468;   -999.000;   0
1944-08-01;--:--;     91.581;   -999.000;   0
1944-09-01;--:--;    195.300;   -999.000;   0
1944-10-01;--:--;    487.355;   -999.000;   0
1944-11-01;--:--;   1142.200;   -999.000;   0
1944-12-01;--:--;   1199.032;   -999.000;   0
1945-01-01;--:--;    345.129;   -999.000;   0
1945-02-01;--:--;   1353.393;   -999.000;   0
1945-03-01;--:--;    268.097;   -999.000;   0
1945-04-01;--:--;    156.383;   -999.000;   0
1945-05-01;--:--;     93.210;   -999.000;   0
1945-06-01;--:--;     99.917;   -999.000;   0
1945-07-01;--:--;     39.087;   -999.000;   0
1945-08-01;--:--;     26.310;   -999.000;   0
1945-09-01;--:--;     44.927;   -999.000;   0
1945-10-01;--:--;     43.442;   -999.000;   0
1945-11-01;--:--;     95.447;   -999.000;   0
1945-12-01;--:--;    230.065;   -999.000;   0
1946-01-01;--:--;    233.645;   -999.000;   0
1946-02-01;--:--;    396.893;   -999.000;   0
1946-03-01;--:--;    404.290;   -999.000;   0
1946-04-01;--:--;    151.067;   -999.000;   0
1946-05-01;--:--;    290.903;   -999.000;   0
1946-06-01;--:--;    345.433;   -999.000;   0
1946-07-01;--:--;    108.306;   -999.000;   0
1946-08-01;--:--;     47.448;   -999.000;   0
1946-09-01;--:--;     55.863;   -999.000;   0
1946-10-01;--:--;     36.529;   -999.000;   0
1946-11-01;--:--;     54.187;   -999.000;   0
1946-12-01;--:--;    154.226;   -999.000;   0
1947-01-01;--:--;    290.839;   -999.000;   0
1947-02-01;--:--;    264.286;   -999.000;   0
1947-03-01;--:--;    683.258;   -999.000;   0
1947-04-01;--:--;    453.800;   -999.000;   0
1947-05-01;--:--;    166.387;   -999.000;   0
1947-06-01;--:--;    100.033;   -999.000;   0
1947-07-01;--:--;     54.077;   -999.000;   0
1947-08-01;--:--;     36.787;   -999.000;   0
1947-09-01;--:--;     24.823;   -999.000;   0
1947-10-01;--:--;     27.603;   -999.000;   0
1947-11-01;--:--;     60.587;   -999.000;   0
1947-12-01;--:--;    168.677;   -999.000;   0
1948-01-01;--:--;    593.581;   -999.000;   0
1948-02-01;--:--;    536.483;   -999.000;   0
1948-03-01;--:--;    184.355;   -999.000;   0
1948-04-01;--:--;    149.167;   -999.000;   0
1948-05-01;--:--;    330.548;   -999.000;   0
1948-06-01;--:--;    285.167;   -999.000;   0
1948-07-01;--:--;    110.355;   -999.000;   0
1948-08-01;--:--;    100.855;   -999.000;   0
1948-09-01;--:--;    148.700;   -999.000;   0
1948-10-01;--:--;     62.613;   -999.000;   0
1948-11-01;--:--;     89.683;   -999.000;   0
1948-12-01;--:--;    129.694;   -999.000;   0
1949-01-01;--:--;    248.161;   -999.000;   0
1949-02-01;--:--;    123.893;   -999.000;   0
1949-03-01;--:--;    168.129;   -999.000;   0
1949-04-01;--:--;     87.333;   -999.000;   0
1949-05-01;--:--;     83.774;   -999.000;   0
1949-06-01;--:--;    125.433;   -999.000;   0
1949-07-01;--:--;     33.000;   -999.000;   0
1949-08-01;--:--;     14.452;   -999.000;   0
1949-09-01;--:--;     21.433;   -999.000;   0
1949-10-01;--:--;     24.161;   -999.000;   0
1949-11-01;--:--;    149.167;   -999.000;   0
1949-12-01;--:--;    293.387;   -999.000;   0
1950-01-01;--:--;    245.452;   -999.000;   0
1950-02-01;--:--;    536.750;   -999.000;   0
1950-03-01;--:--;    240.355;   -999.000;   0
1950-04-01;--:--;    327.900;   -999.000;   0
1950-05-01;--:--;    264.677;   -999.000;   0
1950-06-01;--:--;    144.630;   -999.000;   0
1950-07-01;--:--;     54.442;   -999.000;   0
1950-08-01;--:--;     26.774;   -999.000;   0
1950-09-01;--:--;     45.250;   -999.000;   0
1950-10-01;--:--;     39.026;   -999.000;   0
1950-11-01;--:--;    397.513;   -999.000;   0
1950-12-01;--:--;    527.935;   -999.000;   0
1951-01-01;--:--;    534.839;   -999.000;   0
1951-02-01;--:--;    621.429;   -999.000;   0
1951-03-01;--:--;    770.645;   -999.000;   0
1951-04-01;--:--;    436.000;   -999.000;   0
