date,Q_grdc_m3s,Q_model_raw_m3s,Q_model_annual_fdc_m3s,Q_model_two_season_fdc_m3s,Q_model_four_season_fdc_m3s,month,two_season,four_season
1999-07-25,2288.0,3548.259765625,2283.9371601045164,2007.9085001147412,2418.3554229256215,7,jul_dec,zomer
1999-07-26,2219.0,3282.84033203125,2184.7665082437293,1937.0452333233195,2309.3940042550084,7,jul_dec,zomer
1999-07-27,2138.0,3018.048583984375,2066.0828984485483,1854.949293416944,2200.6171212443396,7,jul_dec,zomer
1999-07-28,2054.0,2762.671875,1969.1609245917814,1761.8430507022117,2085.1469534448756,7,jul_dec,zomer
1999-07-29,1965.0,2523.398681640625,1884.5103462116995,1693.8439793379594,1986.727942014593,7,jul_dec,zomer
1999-07-30,1891.0,2304.74853515625,1793.4783838891171,1620.2399749989847,1904.820798938244,7,jul_dec,zomer
1999-07-31,1842.0,2108.685546875,1720.9834491695765,1538.790023739331,1818.9394339820076,7,jul_dec,zomer
1999-08-01,1807.0,1935.5933837890625,1657.498545381476,1463.3439776282157,1744.1169663731507,8,jul_dec,zomer
1999-08-02,1763.0,1784.456787109375,1585.4203153795531,1413.326609636299,1691.5893754115964,8,jul_dec,zomer
1999-08-03,1732.0,1654.195068359375,1528.4924808201,1365.7365761343106,1647.0620302290263,8,jul_dec,zomer
1999-08-04,1665.0,1542.43798828125,1478.661807943536,1313.4289221274341,1599.3151034208572,8,jul_dec,zomer
1999-08-05,1631.0,1452.0196533203125,1444.694496504272,1270.7728054935055,1556.650530951031,8,jul_dec,zomer
1999-08-06,1618.0,1371.8154296875,1411.8058969529732,1235.8507011665574,1510.7766166456001,8,jul_dec,zomer
1999-08-07,1633.0,1308.9783935546875,1384.197357481819,1208.4328228094582,1478.3521486395105,8,jul_dec,zomer
1999-08-08,1654.0,1254.5401611328125,1361.8873921910308,1183.630281683992,1456.4142541114888,8,jul_dec,zomer
1999-08-09,1648.0,1208.3638916015625,1334.5885564064713,1166.5151134793546,1441.6249564964926,8,jul_dec,zomer
1999-08-10,1651.0,1178.3997802734375,1322.6721434416377,1158.4899555317256,1428.950423917205,8,jul_dec,zomer
1999-08-11,1695.0,1157.1231689453125,1313.7885815576888,1148.1274993108425,1421.2130166871902,8,jul_dec,zomer
1999-08-12,1694.0,1148.370849609375,1310.0541122770567,1143.6843326952587,1417.5800635165897,8,jul_dec,zomer
1999-08-13,1655.0,1150.7794189453125,1311.081808805267,1144.9070571473721,1418.579823611,8,jul_dec,zomer
1999-08-14,1690.0,1185.450439453125,1325.4761166861433,1160.3783029928693,1431.497835453188,8,jul_dec,zomer
1999-08-15,1825.0,1265.4500732421875,1365.8482361709364,1188.4207364105193,1459.756024810027,8,jul_dec,zomer
1999-08-16,1911.0,1451.69091796875,1444.5792870412326,1270.5976498649882,1556.5169772182564,8,jul_dec,zomer
1999-08-17,1947.0,1777.480224609375,1582.8330945520715,1410.621768141606,1689.6393134392824,8,jul_dec,zomer
1999-08-18,1975.0,2248.059814453125,1767.8024032202798,1597.2040600360456,1882.8990876229377,8,jul_dec,zomer
1999-08-19,1962.0,2774.89404296875,1973.651990789513,1765.010508874245,2091.3548393522783,8,jul_dec,zomer
1999-08-20,1950.0,3250.662109375,2169.12856504333,1927.6988118579823,2292.5221303256885,8,jul_dec,zomer
1999-08-21,1948.0,3587.947509765625,2302.228392118468,2028.7134488184815,2438.379275045668,8,jul_dec,zomer
1999-08-22,1924.0,3764.9951171875,2376.7684916369876,2086.0074282642518,2476.4855864384813,8,jul_dec,zomer
1999-08-23,1876.0,3805.76220703125,2394.059210796228,2101.3268793779075,2493.3320396927124,8,jul_dec,zomer
1999-08-24,1866.0,3753.65966796875,2372.6336503942307,2082.188974713578,2471.801364039696,8,jul_dec,zomer
1999-08-25,1916.0,3645.915771484375,2328.7552580491792,2048.594390036598,2448.6888687977817,8,jul_dec,zomer
1999-08-26,1861.0,3515.610595703125,2271.1751226310257,1998.3453992756267,2406.0242846739147,8,jul_dec,zomer
1999-08-27,1815.0,3381.89453125,2220.1921443177225,1967.40937111654,2362.3867597225353,8,jul_dec,zomer
1999-08-28,1781.0,3250.881591796875,2169.2556987207313,1927.7565857808956,2292.6372106329864,8,jul_dec,zomer
1999-08-29,1754.0,3119.177001953125,2115.9441519308834,1890.4718362117126,2235.3579100300035,8,jul_dec,zomer
1999-08-30,1694.0,2980.9765625,2050.3024420336064,1837.8923506654817,2186.9735403943755,8,jul_dec,zomer
1999-08-31,1694.0,2832.73193359375,1993.3101562122968,1786.949955748457,2126.5267605162335,8,jul_dec,zomer
1999-09-01,1701.0,2676.08056640625,1934.9241202704193,1734.6969488760888,1552.3795040608152,9,jul_dec,herfst
1999-09-02,1669.0,2514.901123046875,1880.9102371818765,1691.8268050163344,1508.9834383594493,9,jul_dec,herfst
1999-09-03,1607.0,2355.593505859375,1810.5709453681454,1641.9054625816248,1455.8009331282653,9,jul_dec,herfst
1999-09-04,1557.0,2204.57763671875,1751.1636834980666,1576.8431360017528,1407.8042505516883,9,jul_dec,herfst
1999-09-05,1508.0,2065.4658203125,1705.60190601137,1519.9394616766622,1359.9242235703275,9,jul_dec,herfst
1999-09-06,1476.0,1942.9014892578125,1661.261360143097,1466.1097324579373,1304.6777457373405,9,jul_dec,herfst
1999-09-07,1460.0,1832.8095703125,1612.1810578319444,1428.2632031661583,1259.1869123755903,9,jul_dec,herfst
1999-09-08,1431.0,1734.1029052734375,1566.5780141613086,1391.7077045537878,1228.590331171181,9,jul_dec,herfst
1999-09-09,1419.0,1643.0400390625,1523.057658973597,1361.5870287041255,1204.4301388559102,9,jul_dec,herfst
1999-09-10,1412.0,1556.837158203125,1485.2351221343094,1320.5577787276231,1173.7707215407609,9,jul_dec,herfst
1999-09-11,1379.0,1472.6884765625,1451.9381471066981,1281.6748562060122,1139.0149386132612,9,jul_dec,herfst
1999-09-12,1349.0,1389.6566162109375,1420.110989889947,1245.3787564123932,1111.7372656579919,9,jul_dec,herfst
1999-09-13,1302.0,1307.2310791015625,1383.3518918463421,1207.5759032347787,1093.890967888435,9,jul_dec,herfst
1999-09-14,1263.0,1226.0374755859375,1345.4142215201578,1171.39827088532,1063.0567634042156,9,jul_dec,herfst
1999-09-15,1239.0,1150.9908447265625,1311.1720206742477,1145.0143886942303,1034.4303072415826,9,jul_dec,herfst
1999-09-16,1222.0,1075.3681640625,1281.9413943539466,1118.2725153612673,1007.9910026868343,9,jul_dec,herfst
1999-09-17,1218.0,1008.287353515625,1254.7360162023235,1099.4038635917584,987.2418327345338,9,jul_dec,herfst
