season,quantile,model_q,grdc_q
zomer,0.49,2012.5543920898435,1777.0
zomer,0.5,2039.4149169921873,1795.5
zomer,0.51,2070.963447265625,1809.26
zomer,0.52,2120.612998046875,1822.0
zomer,0.53,2184.936142578125,1852.3899999999999
zomer,0.54,2229.4412500000003,1874.02
zomer,0.55,2264.3127075195316,1890.65
zomer,0.56,2306.0588476562502,1905.2800000000002
zomer,0.5700000000000001,2339.7972167968755,1913.91
zomer,0.58,2377.213452148437,1931.54
zomer,0.59,2433.195119628906,1950.34
zomer,0.6,2463.0087890625,1964.6
zomer,0.61,2502.254411621094,1980.4299999999998
zomer,0.62,2544.657490234375,1993.06
zomer,0.63,2582.6419067382817,2005.0
zomer,0.64,2627.3756542968754,2030.64
zomer,0.65,2697.384204101563,2054.0
zomer,0.66,2740.725605468751,2074.0
zomer,0.67,2801.758815917969,2105.0
zomer,0.68,2846.1320019531254,2135.84
zomer,0.6900000000000001,2899.514819335938,2154.0
zomer,0.7000000000000001,2981.536035156251,2187.2000000000003
zomer,0.71,3029.2411254882813,2204.73
zomer,0.72,3071.464814453125,2220.72
zomer,0.73,3137.56736328125,2241.0
zomer,0.74,3221.9735937499977,2277.4799999999996
zomer,0.75,3283.99609375,2310.0
zomer,0.76,3318.409990234375,2329.76
zomer,0.77,3369.150632324219,2357.51
zomer,0.78,3445.4296435546876,2386.7000000000007
zomer,0.79,3533.6811450195314,2411.0
zomer,0.8,3588.7813964843754,2438.8
zomer,0.81,3735.0713720703125,2464.12
zomer,0.8200000000000001,3808.104594726563,2494.3
zomer,0.8300000000000001,3928.780754394533,2528.1600000000008
zomer,0.84,4051.9464843749993,2554.5999999999995
zomer,0.85,4147.753271484375,2591.55
zomer,0.86,4273.792099609375,2620.0
zomer,0.87,4410.075668945311,2656.24
zomer,0.88,4486.84703125,2725.5200000000004
zomer,0.89,4578.9407958984375,2777.21
zomer,0.9,4745.2830078125,2861.0
zomer,0.91,4872.85780761719,2955.620000000002
zomer,0.92,5025.50453125,3034.0
zomer,0.93,5207.246533203127,3108.720000000001
zomer,0.9400000000000001,5440.164501953125,3191.54
zomer,0.9500000000000001,5723.171264648439,3299.0
zomer,0.96,5877.657148437501,3434.88
zomer,0.97,6374.893701171874,3520.079999999997
zomer,0.98,6972.29953125,3636.92
zomer,0.99,7995.590117187484,4092.729999999997
zomer,1.0,10186.076171875,5697.0
herfst,0.0,193.40174865722656,788.0
herfst,0.01,290.131640625,819.46
herfst,0.02,378.8819775390625,869.0
herfst,0.03,562.7329150390625,905.0
herfst,0.04,700.2798754882813,923.36
herfst,0.05,834.5162719726563,948.3
herfst,0.06,946.0419458007813,968.28
herfst,0.07,1001.3207653808594,985.22
herfst,0.08,1045.356552734375,998.0
herfst,0.09,1096.8427783203124,1015.14
herfst,0.1,1136.5340576171875,1029.2
herfst,0.11,1196.9560083007811,1051.06
herfst,0.12,1241.705068359375,1069.52
herfst,0.13,1287.784736328125,1087.98
herfst,0.14,1327.3290283203125,1100.0
herfst,0.15,1376.6010864257812,1109.0
herfst,0.16,1419.52705078125,1118.0
herfst,0.17,1441.6445263671874,1130.0
herfst,0.18,1473.6012451171873,1139.28
herfst,0.19,1502.4061254882813,1151.0
herfst,0.2,1538.42978515625,1165.2
herfst,0.21,1563.0424731445312,1176.6599999999999
herfst,0.22,1609.9206640625,1188.0
herfst,0.23,1635.3985302734375,1202.58
herfst,0.24,1674.3053466796875,1212.0
herfst,0.25,1728.8876953125,1226.0
herfst,0.26,1756.9938818359376,1239.96
herfst,0.27,1793.984443359375,1248.0
herfst,0.28,1824.8242480468753,1254.88
herfst,0.29,1856.565947265625,1272.0
herfst,0.3,1879.5178222656248,1293.0
herfst,0.31,1935.5778173828126,1302.26
herfst,0.32,1975.1382861328125,1315.3200000000002
herfst,0.33,2014.8848950195313,1333.18
herfst,0.34,2041.0804931640625,1350.6399999999999
herfst,0.35000000000000003,2073.8071044921876,1363.1
herfst,0.36,2115.3236230468747,1375.56
herfst,0.37,2168.0791455078124,1390.04
herfst,0.38,2204.97982421875,1408.0
herfst,0.39,2249.9079345703126,1420.0
herfst,0.4,2285.4531738281253,1431.8000000000002
herfst,0.41000000000000003,2319.610107421875,1447.72
herfst,0.42,2371.2634765625,1459.32
herfst,0.43,2423.1581982421876,1476.78
herfst,0.44,2465.8940917968753,1496.48
herfst,0.45,2522.8050048828127,1511.0
herfst,0.46,2598.043447265625,1529.3200000000002
herfst,0.47000000000000003,2658.6780810546875,1547.24
herfst,0.48,2712.312705078125,1563.08
herfst,0.49,2759.708569335937,1581.1599999999999
herfst,0.5,2789.072509765625,1602.0
herfst,0.51,2850.51134765625,1613.46
herfst,0.52,2889.0505078125,1635.0
herfst,0.53,2935.9843310546876,1653.0
herfst,0.54,2978.9598046875,1669.8400000000001
herfst,0.55,3023.5604492187504,1688.3000000000002
herfst,0.56,3058.904912109375,1702.0
herfst,0.5700000000000001,3106.2812109375004,1717.2200000000003
herfst,0.58,3163.984267578125,1736.6799999999998
herfst,0.59,3223.35314453125,1755.0
herfst,0.6,3272.0452148437494,1772.9999999999995
herfst,0.61,3352.6772412109376,1795.12
herfst,0.62,3429.314375,1812.0
herfst,0.63,3531.8398681640624,1834.98
herfst,0.64,3592.8742675781255,1855.44
herfst,0.65,3655.472216796875,1867.9
herfst,0.66,3731.492314453125,1882.3600000000001
herfst,0.67,3804.857504882814,1901.6400000000003
herfst,0.68,3865.868251953125,1915.28
herfst,0.6900000000000001,3933.3149951171877,1925.0
herfst,0.7000000000000001,4030.9362792968755,1942.2
herfst,0.71,4114.271513671874,1960.6599999999999
herfst,0.72,4203.680820312499,1975.12
herfst,0.73,4264.381337890624,1997.2199999999993
herfst,0.74,4350.60470703125,2023.3199999999997
herfst,0.75,4432.524169921875,2053.5
herfst,0.76,4524.8594140625,2076.96
herfst,0.77,4638.660214843751,2101.42
herfst,0.78,4775.071386718751,2123.5200000000004
herfst,0.79,4914.322294921875,2154.0
herfst,0.8,5054.131640625001,2184.6000000000004
herfst,0.81,5182.32828125,2218.52
herfst,0.8200000000000001,5300.4691015625,2242.7200000000003
herfst,0.8300000000000001,5460.63125,2274.0
herfst,0.84,5615.972265624999,2318.8399999999992
herfst,0.85,5837.471679687499,2357.2
herfst,0.86,5967.4677539062495,2404.56
herfst,0.87,6186.686513671875,2464.0
herfst,0.88,6356.15560546875,2514.92
herfst,0.89,6594.955771484376,2594.88
herfst,0.9,6798.0962890625015,2716.600000000001
herfst,0.91,7035.015693359379,2804.6000000000013
herfst,0.92,7248.525585937502,2875.32
herfst,0.93,7720.160166015623,3009.56
herfst,0.9400000000000001,8114.898515625,3199.36
herfst,0.9500000000000001,8468.774902343752,3474.9000000000005
herfst,0.96,9067.317343749999,3878.279999999999
herfst,0.97,9739.081230468744,4360.319999999991
herfst,0.98,10932.797656249999,4840.039999999999
herfst,0.99,11791.956621093748,5905.159999999998
herfst,1.0,20566.212890625,9413.0
