time,PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11,Groundwater Recharge
2030-03-08 00:00:00+00:00,,-1.4044640295196587e-07,2.368466534008462e-12,-2.5896051170093415e-07,-2.006839139312433e-12,-1.2017088657501063e-08,-5.695114282389113e-07,4.415404877117744e-14,-2.525091247207456e-11,-3.8751632458478014e-10,5.305963459399654e-13,0.0,-8.921338749168909e-05
2030-03-09 00:00:00+00:00,,-1.401232623265969e-07,2.346789429452656e-12,-2.5841282536021026e-07,-3.011479954295737e-12,-1.1974051083996073e-08,-5.658206987391168e-07,4.387056717252216e-14,-3.285793859220121e-11,-3.8171779626061664e-10,4.1032926839310035e-13,0.0,-8.879505670322383e-05
2030-03-10 00:00:00+00:00,,-1.3978947777104622e-07,2.331884685347063e-12,-2.5785053026083915e-07,-2.9032332093947844e-12,-1.1930362475709444e-08,-5.62190109576477e-07,4.359528824092809e-14,-3.131161996350329e-11,-3.7578948286487446e-10,4.293890275893636e-13,0.0,-8.837887995919168e-05
2030-03-11 00:00:00+00:00,,-1.3948488231108058e-07,2.4067414727824143e-12,-2.573382005266467e-07,-2.0231039066231915e-12,-1.1890502804590142e-08,-5.589745910583588e-07,4.335652320562426e-14,-2.662736697800483e-11,-3.703766182638901e-10,5.748966298672886e-13,0.0,-8.800765261774535e-05
2030-03-12 00:00:00+00:00,,-1.3915288832322403e-07,2.3482604749602842e-12,-2.567766728134302e-07,-2.433386825373418e-12,-1.184717568492033e-08,-5.555768325393728e-07,4.3110161978849454e-14,-2.9070745810599874e-11,-3.644334556351936e-10,5.053557398937425e-13,0.0,-8.761332820207652e-05
2030-03-13 00:00:00+00:00,,-1.3883860106034263e-07,2.41184849869569e-12,-2.562506722370017e-07,-2.4539814624802148e-12,-1.1804361044198686e-08,-5.521742423297837e-07,4.28761538805774e-14,-3.005551363344239e-11,-3.58531454525135e-10,5.191877201597694e-13,0.0,-8.722326760987046e-05
2030-03-14 00:00:00+00:00,,-1.3859821024198027e-07,2.5674462555969058e-12,-2.558456060341996e-07,-7.371325771998727e-13,-1.177117781026027e-08,-5.495828077073384e-07,4.2703884319764823e-14,-1.9629631253792468e-11,-3.5399830289328804e-10,8.143143819840104e-13,0.0,-8.692443112690735e-05
2030-03-15 00:00:00+00:00,,-1.3832305967298453e-07,2.4928115127664796e-12,-2.5538341219544236e-07,-1.209143896119258e-12,-1.173397734532955e-08,-5.4677246907886e-07,4.2518641602332097e-14,-2.2064683413702824e-11,-3.488582478450297e-10,7.42840305326814e-13,0.0,-8.659834292702833e-05
2030-03-16 00:00:00+00:00,,-1.3801293619053467e-07,2.4227286843370166e-12,-2.5486721710876736e-07,-1.8228751841320445e-12,-1.1692501189486393e-08,-5.43672058483935e-07,4.231960241225449e-14,-2.6065705149846963e-11,-3.430657147251992e-10,6.521975342600739e-13,0.0,-8.623750454745104e-05
2030-03-17 00:00:00+00:00,,-1.3775931506643246e-07,2.564365386703571e-12,-2.5444290940868086e-07,-6.32771612885108e-13,-1.1687429690709905e-08,-5.48575087577774e-07,4.2167766674261475e-14,-1.8987256211744352e-11,-3.5179173463184554e-10,8.425772557961453e-13,0.0,-8.66211549450586e-05
2030-03-18 00:00:00+00:00,,-1.3755858674358024e-07,2.631589390844624e-12,-2.54103696306629e-07,-2.610134330893743e-13,-1.1659212262316032e-08,-5.462260901367699e-07,4.202355423279375e-14,-1.3662515563339639e-11,-3.478894394781662e-10,8.497927296742536e-13,0.0,-8.635507954655409e-05
2030-03-19 00:00:00+00:00,,-1.3731576586906158e-07,2.5388857682884236e-12,-2.5369740797032136e-07,-1.0367262603949712e-12,-1.1626152485177954e-08,-5.435160801425809e-07,4.185768824106241e-14,-1.8031576232147017e-11,-3.432528705715754e-10,7.295801332865559e-13,0.0,-8.604676521060146e-05
2030-03-20 00:00:00+00:00,,-1.3707268919915805e-07,2.5441870832310087e-12,-2.532904375129874e-07,-1.2359002710127243e-12,-1.1594193161101884e-08,-5.407182470662519e-07,4.1693262205341405e-14,-1.9843682252940198e-11,-3.3842945112994016e-10,6.996018890072231e-13,0.0,-8.57301627719017e-05
2030-03-21 00:00:00+00:00,,-1.3684233124422462e-07,2.5774105072429165e-12,-2.5291635097346443e-07,-7.134293156241256e-13,-1.1564960544774294e-08,-5.381784262681322e-07,4.154770467555344e-14,-1.669142601912199e-11,-3.33921224004996e-10,7.878757867472996e-13,0.0,-8.544090802508514e-05
2030-03-22 00:00:00+00:00,,-1.3661261277775338e-07,2.5840163342394362e-12,-2.5256713342969306e-07,-5.668798763736049e-13,-1.1537853339405046e-08,-5.357154009288934e-07,4.1410258333268377e-14,-1.603472910005621e-11,-3.29424182377025e-10,8.143688089330692e-13,0.0,-8.516141695197243e-05
2030-03-23 00:00:00+00:00,,-1.36378460524611e-07,2.5804913761362513e-12,-2.522381237213267e-07,-5.926370505449086e-13,-1.1512472752883696e-08,-5.332444743544329e-07,4.127568851487219e-14,-1.628797097197321e-11,-3.2480163003612006e-10,8.126806519404006e-13,0.0,-8.48828890130542e-05
2030-03-24 00:00:00+00:00,,-1.3609917459689314e-07,2.496530759898974e-12,-2.519088013741566e-07,-1.5794032748317477e-12,-1.1488006990134636e-08,-5.302918566485459e-07,4.111803535459743e-14,-2.2318591419434597e-11,-3.195119724352935e-10,6.614551571401672e-13,0.0,-8.455709549753705e-05
2030-03-25 00:00:00+00:00,,-1.3584195812654798e-07,2.5490720645393594e-12,-2.516073323022283e-07,-1.122379966744802e-12,-1.1465225213669328e-08,-5.275644525681855e-07,4.097927780531002e-14,-2.0039969683693926e-11,-3.147655192048404e-10,7.505458927969944e-13,0.0,-8.425559595293193e-05
2030-03-26 00:00:00+00:00,,-1.3557477984704747e-07,2.449707103835408e-12,-2.512150558686699e-07,-2.0268231537556858e-12,-1.143669781100698e-08,-5.24383779065829e-07,4.113455588520068e-14,-2.499367379726891e-11,-3.104000945164387e-10,6.303877233583555e-13,0.0,-8.390405563223978e-05
2030-03-27 00:00:00+00:00,,-1.353259762026937e-07,2.4027446698937638e-12,-2.514383083962457e-07,-2.6905144778766044e-12,-1.143506533907157e-08,-5.208594870964589e-07,4.095532710169346e-14,-2.915279129211967e-11,-3.0635946557389104e-10,5.222372556103194e-13,0.0,-8.358127944259646e-05
2030-03-28 00:00:00+00:00,,-1.3509261975741538e-07,2.4195090375656036e-12,-2.511301033791824e-07,-2.674749310926927e-12,-1.1414172718104965e-08,-5.173255317458825e-07,4.078478887622507e-14,-2.988520542146489e-11,-3.0262167771688553e-10,5.344355058327366e-13,0.0,-8.320860131851838e-05
