PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11,Groundwater Recharge
,7.901833782852918e-07,-4.756408808481716e-11,-9.363739818246675e-12,4.498484917903056e-14,-5.9857763190507285e-09,-4.247723950356885e-08,4.988521662910989e-16,2.4059313569191332e-14,-2.687858095817841e-11,7.497162477420813e-14,0.0,0.4734170456560473
,1.6759571508373483e-06,-4.733526764999496e-11,-9.361103905924928e-12,4.4831326151406614e-14,-5.98443916643987e-09,-4.249253748866977e-08,5.045961614042263e-16,2.3938533447176447e-14,-2.6871683697637927e-11,2.08529872379069e-14,0.0,1.0388338865385938
,2.2053311568015488e-06,-4.7114014078974975e-11,-9.35836477755636e-12,4.417646803922537e-14,-5.984265083469609e-09,-4.247159068881956e-08,5.080387679996638e-16,2.3555810080289064e-14,-2.686320957345778e-11,7.41837079504086e-14,0.0,1.3767686348545494
,2.4833984753058758e-06,-4.6899463479466164e-11,-9.355528504673138e-12,4.34262001358654e-14,-5.992247142927454e-09,-4.257037389265861e-08,5.084617021381397e-16,2.313860908431664e-14,-2.6853073584187648e-11,4.431733300648555e-14,0.0,1.5542023525290887
,2.695395778573584e-06,-4.6694328958984954e-11,-9.35315627031974e-12,4.3162522167516926e-14,-5.9967648624592584e-09,-4.266881248327081e-08,5.088414375963057e-16,2.306401597484964e-14,-2.684230615557226e-11,1.9246523184869233e-14,0.0,1.689463305711132
,2.918315658462234e-06,-4.650108423320809e-11,-9.350245404327051e-12,4.369421491290382e-14,-5.999171381887436e-09,-4.264999020620053e-08,5.091872387970222e-16,2.3517646163817574e-14,-2.6832206595495123e-11,1.8939780367416455e-14,0.0,1.8317727954378333
,3.0747719392820727e-06,-4.631672823052213e-11,-9.347867965803225e-12,4.3815645556222194e-14,-5.998701091414205e-09,-4.26311075329977e-08,5.099125636976679e-16,2.3705429980092063e-14,-2.682205846316066e-11,1.8902341511147815e-14,0.0,1.9316577196092892
,3.158531626468175e-06,-4.613995643887314e-11,-9.345178277053723e-12,4.369334755116583e-14,-5.989205131839981e-09,-4.2565936553273787e-08,5.113603018232031e-16,2.3733836077011183e-14,-2.681149399719196e-11,5.848664244969062e-14,0.0,1.9851727639453496
,3.2097270832309732e-06,-4.597077579715503e-11,-9.342407923662588e-12,4.383472751445794e-14,-5.982293771467084e-09,-4.2539518574358226e-08,5.122155933416932e-16,2.3898201126359986e-14,-2.6801057900760483e-11,2.7560488681283198e-14,0.0,2.0178742907168075
,3.2382110930484487e-06,-4.580821486022124e-11,-9.33970348976354e-12,4.393620883780258e-14,-5.976020567288742e-09,-4.247680607250004e-08,5.140464021176241e-16,2.4032642195748188e-14,-2.6790458740322265e-11,6.913329771932736e-14,0.0,2.0361009747874723
,3.2946543342404766e-06,-4.565307160087073e-11,-9.33714217055126e-12,4.4092333950640494e-14,-5.9712368383202374e-09,-4.24525126163644e-08,5.160887573721319e-16,2.4168167467308876e-14,-2.6780118053681967e-11,2.924140693038452e-14,0.0,2.0721496478318193
,3.4431520816724515e-06,-4.612645335133614e-11,-9.334763864665696e-12,4.4607546823005606e-14,-5.9676259489549466e-09,-4.240337503347291e-08,5.167037562313977e-16,2.4509474311207313e-14,-2.6770901467854102e-11,7.35349145941297e-14,0.0,2.1669752404772904
,3.733201538125286e-06,-4.6026304295621046e-11,-9.332592858235511e-12,4.532138553337006e-14,-5.965057336965174e-09,-4.2382840348409445e-08,5.189981037877136e-16,2.4868345230300015e-14,-2.676350807639949e-11,3.7634503938796873e-14,0.0,2.3521404697744654
,3.8159769246703945e-06,-4.5866966474905624e-11,-9.330345523972383e-12,4.4802703214052997e-14,-5.962604632259172e-09,-4.236840567273248e-08,5.217563607013288e-16,2.471005171311713e-14,-2.675484486736046e-11,1.952348432389655e-14,0.0,2.404990261862877
,3.7430420434247935e-06,-4.5709498686097305e-11,-9.328006249365028e-12,4.414784510187175e-14,-5.9601710233891936e-09,-4.232989780916796e-08,5.246250495354423e-16,2.4429460190877883e-14,-2.674471234753728e-11,7.313925534007185e-14,0.0,2.3584592201900794
